书名,作者,作者国别,出版时间,出版社,价格,评分,评价人数,封面URL,封面路径
关于春天：托芙·扬松短篇自选集,托芙·扬松,芬,2025-4,北京联合出版公司,65.00,9.0,60,https://img1.doubanio.com/view/subject/s/public/s35100978.jpg,covers/s35100978.jpg
书怎么读都有趣,青山南,日,2025-4,北京联合出版公司,39,8.4,141,https://img9.doubanio.com/view/subject/s/public/s35112686.jpg,covers/s35112686.jpg
不安的处境,齐西·丹加伦芭,津巴布韦,2025-4,九州出版社,68.00元,8.5,23,https://img9.doubanio.com/view/subject/s/public/s35115345.jpg,covers/s35115345.jpg
走向现代：西方艺术1789-1914,贝尔特朗·蒂利耶 编著,法,2025-4,北京联合出版公司,458.00元,0.0,6,https://img1.doubanio.com/view/subject/s/public/s35090808.jpg,covers/s35090808.jpg
进入故事之林：探究故事的五幕之旅,约翰·约克,英,2025-5,北京联合出版公司,78.00,0.0,0,https://img9.doubanio.com/view/subject/s/public/s35128466.jpg,covers/s35128466.jpg
云南四川踏查记,米内山庸夫,日,2025-5,生活·读书·新知三联书店,48.00元,0.0,2,https://img9.doubanio.com/view/subject/s/public/s35136486.jpg,covers/s35136486.jpg
在场证明：中国悬疑推理作家访谈录,战玉冰,中国,2025-4,上海交通大学出版社,58.00元,9.0,20,https://img1.doubanio.com/view/subject/s/public/s35112220.jpg,covers/s35112220.jpg
西瓜船,苏童,中国,2025-5,浙江人民出版社,49.80元,0.0,5,https://img3.doubanio.com/view/subject/s/public/s35142342.jpg,covers/s35142342.jpg
经书版本与经典校勘,张学谦,中国,2025-5,上海古籍出版社,88,0.0,1,https://img3.doubanio.com/view/subject/s/public/s35149633.jpg,covers/s35149633.jpg
那不只是身体的病,阿拉斯泰尔·桑豪斯,中国,2025-4-23,太白文艺出版社,59.80元,0.0,2,https://img9.doubanio.com/view/subject/s/public/s35132854.jpg,covers/s35132854.jpg
山谷，我的家：棚户街的晚年与理想照护,末并俊司,日,2025-4,上海译文出版社,48.00元,0.0,10,https://img1.doubanio.com/view/subject/s/public/s35119360.jpg,covers/s35119360.jpg
“婚姻”：中世纪的男男女女与两性结合,露丝·马佐·卡拉斯,美,2025-5,上海社会科学院出版社,68.00元,0.0,0,https://img3.doubanio.com/view/subject/s/public/s35132013.jpg,covers/s35132013.jpg
羊之歌：我的回想,加藤周一,日,2025-4,上海译文出版社,68,0.0,5,https://img2.doubanio.com/view/subject/s/public/s35110951.jpg,covers/s35110951.jpg
奴隶船：海上奴隶贸易400年,布留川正博,日,2025-4,浙江人民出版社,69元,0.0,9,https://img1.doubanio.com/view/subject/s/public/s35118439.jpg,covers/s35118439.jpg
张元济的生平与事业：从清代改革家到二十世纪出版家,叶宋曼瑛,新西兰,2025-3,重庆出版社,78.00元,0.0,17,https://img1.doubanio.com/view/subject/s/public/s35110090.jpg,covers/s35110090.jpg
领导权与社会主义战略：走向激进的民主政治,埃内斯托•拉克劳 / 尚塔尔·穆夫,英 / 英,2025-4,西北大学出版社,96.00,9.2,20,https://img9.doubanio.com/view/subject/s/public/s34953614.jpg,covers/s34953614.jpg
奥拉,卡洛斯·富恩特斯,墨,2025-4-23,上海译文出版社,68,8.7,40,https://img9.doubanio.com/view/subject/s/public/s35102964.jpg,covers/s35102964.jpg
圆谎者词典,伊利·威廉姆斯,英,2025-4,南海出版公司,59.00元,7.9,24,https://img3.doubanio.com/view/subject/s/public/s35126063.jpg,covers/s35126063.jpg
德勒兹论电影,罗纳德·博格,美,2025-4,南京大学出版社,68.00元,0.0,7,https://img3.doubanio.com/view/subject/s/public/s35121222.jpg,covers/s35121222.jpg
看见她们：ADHD女性的困境,洛塔·博里·斯科格隆,瑞典,2025,华夏出版社,49元,7.9,41,https://img1.doubanio.com/view/subject/s/public/s35100890.jpg,covers/s35100890.jpg
昌明国粹：柳诒徵及其弟子之学术,区志坚,中国,2025-5,广西师范大学出版社,89.00元,0.0,0,https://img1.doubanio.com/view/subject/s/public/s35135139.jpg,covers/s35135139.jpg
中国神话求原,尹荣方,中国,2025-3-25,江苏凤凰文艺出版社,69.00,8.8,20,https://img3.doubanio.com/view/subject/s/public/s35107263.jpg,covers/s35107263.jpg
小蜜橘谜案,鲍勃·莫蒂默,英,2025-4,新星出版社,59.00元,0.0,11,https://img9.doubanio.com/view/subject/s/public/s35128015.jpg,covers/s35128015.jpg
厌倦了爱：佩索阿英语诗集,费尔南多·佩索阿,葡萄牙,2025-4,上海人民出版社,69.00元,8.7,44,https://img1.doubanio.com/view/subject/s/public/s35103959.jpg,covers/s35103959.jpg
反卷社会,阿夫拉姆·阿尔珀特（Avram Alpert）,美,2025-4,中国科学技术出版社,76.00元,7.8,18,https://img3.doubanio.com/view/subject/s/public/s35062267.jpg,covers/s35062267.jpg
小红帽在旅行中遇见了……,青柳碧人,日,2025-5,湖南文艺出版社,52.00元,0.0,23,https://img3.doubanio.com/view/subject/s/public/s35149637.jpg,covers/s35149637.jpg
人性的深渊：吴谢宇案,吴琪 / 王珊,中国 / 中国,2025-5,生活·读书·新知三联书店,67.00元,0.0,91,https://img2.doubanio.com/view/subject/s/public/s35134531.jpg,covers/s35134531.jpg
大河源,阿来,中国,2025-4,青海人民出版社,88.00元,8.5,35,https://img9.doubanio.com/view/subject/s/public/s35088585.jpg,covers/s35088585.jpg
气呼呼的小词典,老安 / 卢悦,意 / 中国,2025-4-15,文汇出版社,软精装,8.8,70,https://img2.doubanio.com/view/subject/s/public/s35131901.jpg,covers/s35131901.jpg
最后一个梦,佩德罗·阿莫多瓦,西,2025-3,人民文学出版社,59.00,8.4,100,https://img2.doubanio.com/view/subject/s/public/s35107361.jpg,covers/s35107361.jpg
从荒诞到反抗：导读加缪《局外人》和《鼠疫》,余中先,中国,2025-4,华东师范大学出版社,59.8,8.1,33,https://img9.doubanio.com/view/subject/s/public/s35119605.jpg,covers/s35119605.jpg
你喜欢勃拉姆斯吗……,弗朗索瓦丝·萨冈,法,2025-4,浙江人民出版社,48.00元,7.5,55,https://img3.doubanio.com/view/subject/s/public/s35103962.jpg,covers/s35103962.jpg
